name,combined_description
Руководитель команды по продажам кредитных продуктов,"Высшее или незаконченное высшее образование. Личный опыт работы со сложными кредитными сделками, связанными с оформлением кредитных продуктов с залоговым обеспечением. 

Обеспечивать выполнение плана продаж и ключевых показателей эффективности (KPI) всего подразделения. Выполнять личные планы продаж - прирост кредитующихся клиентов, оперприбыль от..."
Клиентский менеджер по продажам (средний бизнес),"Опыт привлечения и развития корпоративных клиентов (ММБ или СКБ). Навык ведения переговоров с первыми лицами компаний. Навыки продаж банковских продуктов.

Повышать прибыль банка за счет привлечения клиентов среднего и крупного корпоративного бизнеса. Развивать портфель текущих клиентов (объем выручки 500 млн..."
"Мобильный банкир, Бронницы","Образование не ниже среднего специального. Готовность к разъездной работе на транспорте. Развитые навыки коммуникации и умение найти индивидуальный подход к...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Эксперт по решениям для клиентов малого бизнеса,"Высшее образование. Знание рынка корпоративных клиентов. Опыт продаж и знание, что нужно первым лицам компании. Желание развиваться и готовность к...

Переводить клиентов из статуса «потенциальных» в «действующих»: звонить потенциальным клиентам с годовой выручкой от 20 до 500 миллионов рублей, знакомится..."
Ведущий менеджер по работе с клиентами среднего бизнеса,"Высшее экономическое образование. Опыт сопровождения корпоративных клиентов обязателен. Навык ведения переговоров с первыми лицами компаний от одного года. 

Работать с холодной базой крупных корпоративных клиентов (отдельные компании, группы с годовой выручкой от 500 до 15 млрд. "
Главный менеджер по работе с клиентами среднего бизнеса,"Опыт работы с клиентами банка от 1,5 лет. Опыт продаж, презентаций и проведения переговоров на уровне первых лиц компании. 

Искать, привлекать и развивать действующих клиентов сегмента средний корпоративный бизнес. Продавать банковские продукты (РКО, ВЭД, Зарплатные проекты, Кредитование, Факторинг и..."
"Мобильный банкир / автокурьер, Троицк (доставка банковских карт)","Карьерный старт в финансовой сфере для тех, кто без опыта.

Предложение от банка только для сотрудников. Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных..."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
"Мобильный банкир (Доставка карт, без поиска клиентов)","Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Консультировать клиентов по выгодным предложениям и продуктам банка, помогать им подключить дополнительные..."
Менеджер отделения банка,"Среднее специальное образование или высшее, рассматриваем обучающихся кандидатов. Опыт работы с клиентами в розничной или финансовой сфере. Уверенное пользование компьютером. 

Осуществлять продажи банковских продуктов и услуг. Обеспечивать выполнения плана продаж ДО Альфа Банка. Устанавливать долгосрочные связи с клиентами отделения. "
Менеджер в отделение банка,"Среднее специальное образование или высшее. Опыт работы с клиентами в розничной или финансовой сфере, или опыт работы в продажах. 

Управлять сервисом и продажами в отделении банка. Консультировать и обслуживать клиентов: помогать с операциями в мобильном приложении или интернет банке. "
Специалист по работе с клиентами,"Успешный опыт в сфере продаж и работы с клиентами желателен. Желание развиваться в продажах (даже если у тебя еще нет...

Продажа банковских продуктов в отделении Банка. Ежедневно повышать свою экспертизу в работе с клиентами в качестве универсального менеджера (работа со..."
Администратор зала отделения банка,"Среднее специальное образование или высшее. Опыт работы с клиентами в розничной или финансовой сфере. Уверенное пользование компьютером. Коммуникабельность. 

Управлять сервисом и продажами в отделении банка. Консультировать и обслуживать клиентов: помогать с операциями в мобильном приложении или интернет банке. "
