name,combined_description
Менеджер по работе с клиентами,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам ( 2-3 встреч в день). Проводить презентации банковских продуктов для физических..."
Координатор департамента,"Не менее 2 х лет в роли координатора/ассистента/помощника крупной компании. Высшее образование в области управления, экономики, бизнеса или...

Предоставлять регулярную отчётность для высшего руководства. Поддерживать кросс‑функциональное взаимодействие команд. Разрабатывать процедуру и организовывать сбор требований. Организовывать работу команды..."
Технический лидер Java,"Опыт в роли техлида/руководителя группы разработки от 2х лет, до этого опыт разработчиком от 6х лет. 

Активное участие на всех этапах жизненного цикла проекта. Осуществление технического лидирования команды разработки. Выполнение PoC и R&D работ. "
Вице-президент (Факторинг),"Высшее образование (Экономика, Юриспруденция, Менеджмент, Прочее). -Опыт работы в корпоративном сегменте (факторинг, банк) от 3-х лет. -Опыт в привлечении...

Привлечение клиентов на обслуживание по факторингу. -Обеспечение и наращивание объема бизнеса клиентов с целью выполнения KPI Управлением. -Ведение переговоров на..."
Мобильный банкир (Юридические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (Юридические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Старший менеджер по работе с партнерами,"Получили высшее образование или близки к этому. Вас будут окружать заряженные люди, которые создают банкинг будущего и во всём помогут. 

Привлекать новых партнёров для сотрудничества. Развивать отношения с действующим портфелем партнёров. Звонить и назначать встречи с потенциальными партнёрами и клиентами. "
Менеджер по прямых продаж,"Высшее / неполное высшее / средне-специальное образование. Знание основных этапов продаж. Желание развиваться в банковской сфере. Готовность к разъездной работе.

Привлекать корпоративных клиентов (прямые контакты на выделенной территории с клиентами ИП и малого бизнеса). Продавать продукты банка юридическим лицам: РКО..."
Менеджер прямых продаж (малый бизнес),"Высшее или неоконченное высшее образование. Опыт работы с юридическими лицами в банковской сфере. Опыт продаж. Желание развиваться в банковской сфере.

Консультировать действующих клиентов — юридических лиц. Совершать холодные и тёплые звонки. Продавать банковские продукты: РКО, кредитование, зарплатный проект, терминал торгового эквайринга..."
Главный кредитный аналитик (TMT CIB),"Проведение финансового анализа крупнейших клиентов отрасли TMT. Структурирование сделок всех направлений кредитования: проектное финансирование, инвестиционное кредитование, оборотное финансирование, сложноструктурированные сделки..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной или пешей работе. Развитые навыки коммуникации и умение найти индивидуальный подход к...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Главный менеджер по развитию отношений с партнерами,"Высшее образование. Опыт работы в сегменте 2B2 от 1-го года обязателен. Опыт работы в сфере продаж. 

Привлекать новых партнёров для сотрудничества. Развивать отношения с действующим портфелем партнёров. Звонить и назначать встречи с потенциальными партнёрами и клиентами. "
Ведущий универсальный менеджер банка,"Опыт работы в банке или активных продажах с клиентами от 1 года. Желание развиваться в банковской сфере и продажах. 

Осуществлять обслуживание действующих клиентов — юридических лиц, физических лиц. Продавать банковские продукты. Привлекать новых клиентов малого бизнеса. Развивать действующий портфель клиентов..."
Старший инженер данных,"SQL - умение создавать сложные запросы с использованием аналитических оконных функций и использовать инструменты профилирования для оптимизации их производительности, опыт работы...

Спектр задач представляет из себя непрерывный поток аналитики и разработки (в т.ч. с применением ML-моделей) продвинутых контролей качества..."
Ведущий менеджер по сопровождению транзакционных сделок,"Высшее образование (финансы и кредит, экономика, банковское дело, бухучет, анализ и аудит). Опыт работы в банковских, финансовых или коммерческих организациях...

Сопровождение транзакционных сделок клиентов среднего бизнеса региональной сети. Заведение процессов РКО в системе, согласования, запросы в службы, сбор и анализ..."
Альфа-Агент,"Готовность к разъездному графику – работа предполагает выезды для встреч с клиентами. Любовь к общению с людьми – хотите развивать навыки переговоров...

Вести презентации банковских продуктов (карты, вклады, накопительные счета) для сотрудников компаний клиентов, превращая сухие цифры в понятные выгоды и помогая..."
Выездной мобильный банкир (без поиска клиентов),"Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Главный специалист по выездному взысканию (юридические лица),"Высшее или неоконченное высшее. Опыт работы в сфере взыскания просроченной задолженности, подтверждённый реальными результатами и успешными кейсами. Ведение переговоров с...

Взыскание просроченной задолженности с юридических лиц, работа с ФССП. Поиск и изъятие залогов, проведение проверок имущества должников. Переговоры с проблемными..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Ведущий универсальный менеджер,"Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сферах. Коммуникабельность.

Продавать кредитные, страховые, накопительные и инвестиционные продукты физическим и юридическим лицам. Консультировать клиентов по работе со счетами и картами. "
Руководитель проектов (Казначейство),"Опыт описания бизнес-процессов, блок-схем (bpmn/aris/visio и пр.), user story. Знание банковских продуктов и понимание трансфертного ценообразования. 

Описывать требования к модулям ALM системы (моделирование баланса, расчета и прогнозирования метрик ALM рисков, моделирование поведения отдельных балансовых статей). "
Java разработчик (Senior),"Общий стаж коммерческой разработки на Java от 3 лет. Уверенные навыки разработки потоковых сервисов (на Kafka / Kafka Streams). 

Разработка и развитие кода по принятым общебанковским/командным стандартам. Обеспечение качества кода и полноты реализации требований. Проработка задач: уточнение требований..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Бизнес партнер по персоналу,"Высшее образование: управление персоналом/ психология/ социология/ юриспруденция/ экономика. - Опыт работы: от 3-х лет в роли HR бизнес-партнера в...

Внедрение HR-инструментов в курируемых структурных подразделениях (подбор, адаптация, обучение, развитие, премирование, SI, карьерное планирование, вовлеченность персонала, кадровые комиссии и..."
Менеджер прямых продаж,"Высшее/неполное высшее образование. Знание основных этапов продаж. Желание развиваться в банковской сфере. Готовность к разъездной работе. Опыт работы в...

Привлекать клиентов малого бизнеса на закреплённой территории. Проводить деловые встречи с первыми лицам компаний. Звонить и назначать встречи потенциальным клиентам. "
Главный менеджер по продажам кредитных продуктов (г. Одинцово),"Высшее или незаконченное высшее образование. Опыт не менее 1 года работы в кредитовании юридических лиц сегмента малого и среднего бизнеса...

Привлекать юридические лица на кредитные продукты, расчётно-кассовое обслуживание и зарплатные проекты (холодное привлечение). Выполнять планы продаж: прирост кредитующихся клиентов..."
"Мобильный банкир, г. Псков","Образование не ниже среднего специального. Готовность к разъездной работе. Наличие собственного ПК является преимуществом. Наличие смартфона с ОС Android или...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
"Мобильный банкир, г. Гатчина","Образование не ниже среднего специального. Готовность к разъездной работе. Наличие собственного ПК является преимуществом. Наличие смартфона с ОС Android или...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
"Менеджер отделения (ул. Э. Белана, 10А)","Среднее специальное или высшее образование. Опыт работы с клиентами в финансовой сфере будет преимуществом. Коммуникабельность. Желание развиваться в продажах.

Работать со счетами и картами клиентов. Продавать кредитные, страховые, накопительные и инвестиционные продукты. Поддерживать высокий уровень клиентских впечатлений и философию..."
"Главный менеджер (просп. Победы, 20)","Среднее специальное или высшее образование. Опыт работы с клиентами в финансовой сфере от года. Коммуникабельность. Желание развиваться в продажах.

Работать со счетами и картами клиентов. Продавать кредитные, страховые, накопительные и инвестиционные продукты. Поддерживать высокий уровень клиентских впечатлений и философию..."
"Мобильный банкир, г. Волжский","Образование не ниже среднего специального. Готовность к разъездной работе. Наличие собственного ПК является преимуществом. Наличие смартфона с ОС Android или...

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Менеджер по работе с партнерами,"Высшее образование. Опыт работы в сегменте b2b от 1-го года. Опыт работы в сфере продаж. 

Привлекать новых партнёров для сотрудничества. Развивать отношения с действующим портфелем партнёров. Звонить и назначать встречи с потенциальными партнёрами и клиентами. "
Менеджер по работе с партнерами,"Высшее образование. Опыт работы в сегменте b2b от 1-го года. Опыт работы в сфере продаж. 

Привлекать новых партнёров для сотрудничества. Развивать отношения с действующим портфелем партнёров. Звонить и назначать встречи с потенциальными партнёрами и клиентами. "
Начальник отдела,"Высшее образование. Опыт работы на руководящей должности в партнерском канале. Опыт прямых продаж корпоративным клиентам. Готовность к разъездному характеру работы...

Организовать эффективную работу подразделения Партнерского канала. Анализировать рынок и распределять зоны ответственности между сотрудниками отдела. Работать с командой: осуществлять постановку..."
Главный Альфа - Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). Проводить презентации банковских продуктов для..."
Мобильный банкир,"Образование не ниже среднего. Навыки коммуникации и умение находить индивидуальный подход к клиенту. Наличие смартфона.

Доставка банковских продуктов клиентам. Подписание документов с клиентами. Помощь в подборе продуктов банка и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. Готовность к разъездной работе. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Консультировать клиентов по выгодным предложениям и продуктам банка, помогать им подключить дополнительные..."
Ведущий универсальный менеджер,"Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сферах. Коммуникабельность.

Продавать банковские продукты юридическим лицам. Консультировать клиентов по работе с продуктовой линейкой. Привлекать новых клиентов (входящие звонки). Работать с отчётностью. "
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Менеджер,"Среднее специальное или высшее образование. Коммуникабельность. Желание развиваться в продажах.

Работать со счетами и картами клиентов. Продавать кредитные, страховые, накопительные и инвестиционные продукты. Поддерживать высокий уровень клиентских впечатлений и философию..."
Менеджер продаж малому бизнесу,"Высшее / неполное высшее / средне-специальное образование. Знание основных этапов продаж. Желание развиваться в банковской сфере. Готовность к разъездной работе.

Привлекать корпоративных клиентов (прямые контакты на выделенной территории с клиентами ИП и малого бизнеса). Продавать продукты банка юридическим лицам: РКО..."
Мобильный банкир (юридические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (юридические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Начинающий Мобильный банкир (доставка карт),"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Выездной менеджер (Альфа-Агент),"Готовность к выездным встречам с клиентами. - Желание общаться с людьми, развивать навыки переговоров и зарабатывать. - Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). - Проводить презентации банковских продуктов для..."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Руководитель команды прямых продаж,"Высшее образование. Опыт ведения переговоров на уровне первых лиц компаний. Опыт работы на руководящей позиции от 1 года желателен. 

Организовывать процесс продаж банковских продуктов и услуг малому бизнесу на основе потребностей Клиентов сегмент клиентов с годовой выручкой до 90..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (юридические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Альфа-Агент наноофиса,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). Проводить презентации банковских продуктов для..."
"Клиентский менеджер в отделение банка (Ленина, 58)","Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сферах. Коммуникабельность. Желание развиваться в продажах. 

Работа с клиентами банка (физические лица) - консультирование, продажа банковских продуктов и услуг, помощь в решении различных вопросов. Звонки (по теплой..."
Специалист по работе с клиентами в отделении Банка (тц Лето),"Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сфере. Коммуникабельность. Желание развиваться в продажах. 

Работа с клиентами банка (физические лица) - консультирование, продажа банковских продуктов и услуг, помощь в решении различных вопросов. Звонки (по теплой..."
Подменный клиентский менеджер в отделение банка (Социалистический 130),"Среднее специальное или высшее образование. Опыт работы с клиентами в розничной или финансовой сферах. Коммуникабельность. Желание развиваться в продажах. 

Работа с клиентами банка (физические лица) - консультирование, продажа банковских продуктов и услуг, помощь в решении различных вопросов. Звонки (по теплой..."
"Менеджер в отделение банка (Вагоностроителей, 13)","Опыт работы с клиентами в розничной или финансовой сферах приветствуется. Рассматриваем кандидатов без опыта работы - проводим базовое обучение с 1...

Работать со счетами и картами клиентов в отделении банка. Продавать банковские и страховые продукты (кредитные продукты, карты, вклады). "
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Ведущий менеджер по работе с клиентами среднего бизнеса,"высшее образование. -опыт работы с корпоративными клиентами банка (малый,средний,крупный бизнес) от 1 года, опыт продаж, презентаций и проведения...

активно привлекать клиентов корпоративного бизнеса (выручка от 500 млн. до 15 млрд. в год) на банковские продукты (кредитные, транзакционные, инвестиционные..."
Мобильный банкир (доставка карт),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Руководитель по работе с партнерами (ипотека),"Опыт в ипотечном направлении, в банковской структуре не менее 3-х лет. Опыт работы в ТОП10 банков по ипотеке. 

Привлечение партнеров и развитие партнерских отношений. Согласование, подготовка и проведение сделок по ипотечному кредитованию. Обеспечение выполнения KPI подразделения. "
Альфа-агент по зарплатному проекту,"Готовность к выездным встречам с клиентами. - Желание общаться с людьми, развивать навыки переговоров и зарабатывать. - Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). - Проводить презентации банковских продуктов для..."
"Ведущий менеджер в банк (ул Восточная, д 11а)","Среднее специальное образование или высшее. Будет дополнительным преимуществом опыт работы на должности: кредитный специалист, клиентский менеджер, консультант, менеджер по работе...

Консультировать по банковским продуктам и подбирать оптимальные продукты для клиентов (ФЛ и ЮЛ). Оформлять заявки, выдавать кредиты, кредитные карты и..."
"Менеджер в отделение банка (пр-кт Мира, д 24М)","Среднее специальное образование. Опыт работы в продажах от 6 месяцев. Уверенное пользование компьютером. Коммуникабельность.

Обслуживать клиентов на входящем потоке(физ. лиц): работать со счетами, пластиковыми картами и денежными переводами. Продавать банковские и страховые продукты..."
Альфа - Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (от 2-3 встреч в день). Проводить презентации банковских продуктов для..."
Mobile AQA Engineer (Java),"Имеет совокупный опыт в тестировании от 3-х лет. Тестирует мобильные приложения более 1-го года. Пишет автотесты на стеке...

Обеспечивать качество разрабатываемого продукта. Проводить ручное и автоматизированное тестирования (функциональное, интеграционное, регрессионное). Разрабатывать автотесты на Java. Участвовать в ревью кода. "
Руководитель в отделение банка,"Образование от средне-специального; по специальности экономика, финансы, менеджмент. Опыт работы в банковской сфере на руководящей позиции не менее 1...

Обеспечивать выполнение плановых показателей офиса. Осуществлять организацию и осуществлять обслуживание клиентов - физических и юридических лиц. Контролировать текущие результаты работы офиса. "
Главный премиум-менеджер (м.Сокольники),"Среднее специальное образование или высшее. Опыт работы с премиальными клиентами от 3-х лет. Опыт привлечения премиальных клиентов, в том...

Искать и привлекать новых клиентов на премиальное обслуживание. Выстраивать долгосрочные отношения с премиальными клиентами. Осуществлять обзвон действующих и холодных клиентов. "
Руководитель наноофиса,"Высшее/ неполное высшее образование. Опыт от 1 года. Навыки продаж, знание банковских продуктов, опыт ведения переговоров с клиентами.

Работа на территория отделения нового формата. Выполнять плановые KPI. Развивать портфель отделения. Сопровождать и консультировать клиентов на всех этапах взаимодействия..."
Руководитель офиса,"Образование от средне-специального; по специальности экономика, финансы, менеджмент. Опыт работы в банковской сфере не менее двух лет.

Обеспечивать выполнение плановых показателей офиса. Осуществлять организацию и осуществлять обслуживание клиентов - физических и юридических лиц. Контролировать текущие результаты работы офиса. "
Специалист дистанционного взыскания,"Образование высшее. Уверенный пользователь ПК. Базовые знания ГК РФ, ГПК РФ, ФЗ 229 ""Об исполнительном производстве"", ФЗ 230 «О защите...

Дистанционное сопровождение исполнительного производства. Совершение мероприятий, направленных на взыскание задолженности (направление запросов, жалоб, совершение звонков). Вести переговоры с клиентами банка..."
Старший Альфа-Агент,"Готовность к выездным встречам с клиентами. Желание общаться с людьми, развивать навыки переговоров и зарабатывать. Можно без опыта — мы всему...

Договариваться о встречах и выезжать на территорию к клиентам (2-3 встречи в день). Проводить презентации банковских продуктов для физических..."
